index,image,score,lid
74,image_47_60.jpg,0.98509455,47
74,image_47_60.jpg,0.95632005,47
74,image_47_60.jpg,0.90681285,47
74,image_47_60.jpg,0.6436936,47
74,image_47_60.jpg,0.4294167,47
75,image_110_40.jpg,0.5849156,110
76,image_38_320.jpg,0.9959331,38
76,image_38_320.jpg,0.94277096,38
76,image_38_320.jpg,0.23148178,38
77,image_74_260.jpg,0.9883144,74
77,image_74_260.jpg,0.73494977,74
77,image_74_260.jpg,0.40503395,74
77,image_74_260.jpg,0.29856867,74
78,image_108_0.jpg,,108
79,image_23_300.jpg,0.98256207,23
79,image_23_300.jpg,0.9695467,23
79,image_23_300.jpg,0.95218253,23
79,image_23_300.jpg,0.93498355,23
79,image_23_300.jpg,0.9175812,23
79,image_23_300.jpg,0.9014622,23
79,image_23_300.jpg,0.89878917,23
79,image_23_300.jpg,0.8877041,23
79,image_23_300.jpg,0.7532006,23
79,image_23_300.jpg,0.71415824,23
79,image_23_300.jpg,0.67235464,23
79,image_23_300.jpg,0.64900607,23
79,image_23_300.jpg,0.6058485,23
79,image_23_300.jpg,0.5383817,23
79,image_23_300.jpg,0.5258391,23
79,image_23_300.jpg,0.50628185,23
79,image_23_300.jpg,0.47570667,23
79,image_23_300.jpg,0.45233956,23
79,image_23_300.jpg,0.44820777,23
79,image_23_300.jpg,0.28522763,23
79,image_23_300.jpg,0.27550146,23
79,image_23_300.jpg,0.27249283,23
79,image_23_300.jpg,0.25860414,23
79,image_23_300.jpg,0.2580822,23
79,image_23_300.jpg,0.24124292,23
79,image_23_300.jpg,0.20027268,23
80,image_78_200.jpg,0.23971672,78
81,image_30_340.jpg,0.9309794,30
81,image_30_340.jpg,0.91137666,30
81,image_30_340.jpg,0.89654094,30
81,image_30_340.jpg,0.60858554,30
81,image_30_340.jpg,0.38691986,30
81,image_30_340.jpg,0.25134656,30
82,image_91_200.jpg,0.9155259,91
82,image_91_200.jpg,0.27976206,91
83,image_57_300.jpg,0.9859913,57
83,image_57_300.jpg,0.93282396,57
83,image_57_300.jpg,0.62140375,57
83,image_57_300.jpg,0.6088845,57
83,image_57_300.jpg,0.6002821,57
83,image_57_300.jpg,0.40543526,57
83,image_57_300.jpg,0.39458528,57
83,image_57_300.jpg,0.33843482,57
83,image_57_300.jpg,0.32918426,57
83,image_57_300.jpg,0.25496593,57
83,image_57_300.jpg,0.2548158,57
83,image_57_300.jpg,0.24832864,57
83,image_57_300.jpg,0.21998663,57
83,image_57_300.jpg,0.20962965,57
84,image_109_340.jpg,,109
85,image_29_0.jpg,,29
86,image_53_140.jpg,0.998254,53
86,image_53_140.jpg,0.99804735,53
86,image_53_140.jpg,0.9970794,53
86,image_53_140.jpg,0.98925436,53
86,image_53_140.jpg,0.97333175,53
86,image_53_140.jpg,0.95998764,53
86,image_53_140.jpg,0.9140062,53
86,image_53_140.jpg,0.73782974,53
86,image_53_140.jpg,0.67818373,53
86,image_53_140.jpg,0.62158465,53
86,image_53_140.jpg,0.55383915,53
86,image_53_140.jpg,0.5136572,53
86,image_53_140.jpg,0.5114821,53
86,image_53_140.jpg,0.5104462,53
86,image_53_140.jpg,0.4656623,53
86,image_53_140.jpg,0.4590157,53
86,image_53_140.jpg,0.4448042,53
86,image_53_140.jpg,0.4436966,53
86,image_53_140.jpg,0.42794314,53
86,image_53_140.jpg,0.3657122,53
86,image_53_140.jpg,0.33085018,53
86,image_53_140.jpg,0.27529356,53
86,image_53_140.jpg,0.2735706,53
86,image_53_140.jpg,0.26502818,53
86,image_53_140.jpg,0.2625231,53
86,image_53_140.jpg,0.22925082,53
86,image_53_140.jpg,0.2221708,53
86,image_53_140.jpg,0.21171258,53
86,image_53_140.jpg,0.20993623,53
86,image_53_140.jpg,0.20683907,53
87,image_14_120.jpg,0.99906975,14
87,image_14_120.jpg,0.99333405,14
87,image_14_120.jpg,0.9620642,14
87,image_14_120.jpg,0.7908597,14
87,image_14_120.jpg,0.5914483,14
87,image_14_120.jpg,0.48445502,14
87,image_14_120.jpg,0.48217744,14
87,image_14_120.jpg,0.36660597,14
87,image_14_120.jpg,0.3329474,14
88,image_114_160.jpg,,114
89,image_23_320.jpg,0.9972699,23
89,image_23_320.jpg,0.991109,23
89,image_23_320.jpg,0.99063444,23
89,image_23_320.jpg,0.9884647,23
89,image_23_320.jpg,0.9827481,23
89,image_23_320.jpg,0.9760222,23
89,image_23_320.jpg,0.9755923,23
89,image_23_320.jpg,0.9453786,23
89,image_23_320.jpg,0.89720696,23
89,image_23_320.jpg,0.8879198,23
89,image_23_320.jpg,0.8860177,23
89,image_23_320.jpg,0.8414998,23
89,image_23_320.jpg,0.71092314,23
89,image_23_320.jpg,0.60086524,23
89,image_23_320.jpg,0.59682685,23
89,image_23_320.jpg,0.579893,23
89,image_23_320.jpg,0.514874,23
89,image_23_320.jpg,0.27049518,23
89,image_23_320.jpg,0.26127288,23
89,image_23_320.jpg,0.2493384,23
89,image_23_320.jpg,0.23001432,23
89,image_23_320.jpg,0.20205228,23
90,image_100_40.jpg,,100
91,image_96_220.jpg,0.5272075,96
92,image_69_240.jpg,0.99687344,69
92,image_69_240.jpg,0.9934822,69
92,image_69_240.jpg,0.95321584,69
92,image_69_240.jpg,0.9287697,69
92,image_69_240.jpg,0.7860165,69
92,image_69_240.jpg,0.7385638,69
92,image_69_240.jpg,0.37184992,69
92,image_69_240.jpg,0.3112131,69
92,image_69_240.jpg,0.3076974,69
92,image_69_240.jpg,0.30157772,69
92,image_69_240.jpg,0.2357349,69
92,image_69_240.jpg,0.20014186,69
93,image_32_40.jpg,,32
94,image_16_320.jpg,0.31884623,16
95,image_16_20.jpg,0.28309366,16
96,image_46_60.jpg,0.62774754,46
97,image_87_20.jpg,0.84978557,87
97,image_87_20.jpg,0.7384537,87
97,image_87_20.jpg,0.39863363,87
97,image_87_20.jpg,0.24665524,87
97,image_87_20.jpg,0.24362244,87
98,image_30_180.jpg,0.9968549,30
98,image_30_180.jpg,0.9878349,30
98,image_30_180.jpg,0.96489036,30
98,image_30_180.jpg,0.9392025,30
98,image_30_180.jpg,0.4679278,30
98,image_30_180.jpg,0.45305765,30
98,image_30_180.jpg,0.2309135,30
99,image_94_160.jpg,0.96983534,94
99,image_94_160.jpg,0.96101636,94
99,image_94_160.jpg,0.9496383,94
99,image_94_160.jpg,0.8646822,94
99,image_94_160.jpg,0.5880122,94
99,image_94_160.jpg,0.52470416,94
99,image_94_160.jpg,0.50133777,94
99,image_94_160.jpg,0.48804846,94
99,image_94_160.jpg,0.398094,94
99,image_94_160.jpg,0.20253007,94
100,image_12_120.jpg,0.9876178,12
100,image_12_120.jpg,0.98336536,12
100,image_12_120.jpg,0.9704168,12
100,image_12_120.jpg,0.94113964,12
100,image_12_120.jpg,0.94094473,12
100,image_12_120.jpg,0.93131876,12
100,image_12_120.jpg,0.86103725,12
100,image_12_120.jpg,0.75510424,12
100,image_12_120.jpg,0.7018569,12
100,image_12_120.jpg,0.51528007,12
100,image_12_120.jpg,0.33130997,12
100,image_12_120.jpg,0.25074226,12
101,image_92_260.jpg,0.9640243,92
101,image_92_260.jpg,0.93881124,92
101,image_92_260.jpg,0.8411063,92
101,image_92_260.jpg,0.8177031,92
101,image_92_260.jpg,0.7905272,92
101,image_92_260.jpg,0.727307,92
101,image_92_260.jpg,0.72413963,92
101,image_92_260.jpg,0.680924,92
101,image_92_260.jpg,0.6060609,92
101,image_92_260.jpg,0.6043018,92
101,image_92_260.jpg,0.5989518,92
101,image_92_260.jpg,0.38789925,92
101,image_92_260.jpg,0.26158434,92
101,image_92_260.jpg,0.2531714,92
101,image_92_260.jpg,0.21993436,92
101,image_92_260.jpg,0.20284443,92
